model,segment,val_season,n_fixtures,rps,rps_ci_low,rps_ci_high,brier_1x2,log_loss_1x2,ece_1x2,exact_scoreline_log_loss,over_2_5_log_loss,over_2_5_brier,btts_log_loss,btts_brier
dixon_coles,established_only,2024-2025,370,0.21784105536882686,0.20565934967665728,0.2317580863770289,0.616381005127103,1.0260077095896813,0.048251199867073935,3.025433794635085,0.6810411637751174,0.24403607158629048,0.6869410555717911,0.24688029608078702
bivariate_poisson,overall,2024-2025,380,0.21752817652867673,0.20465065741285873,0.23099255091885584,0.6190356017358672,1.030178512277435,0.04705270563200947,3.0329619298808344,0.6814702820437668,0.24425693539158969,0.6857818145088486,0.2463012404810692
bivariate_poisson,cold_start_involved,2024-2025,10,0.20211920076310017,0.1633921668491403,0.24084623467706007,0.7127152045786008,1.172946762685871,0.07090988695346695,3.179526334863199,0.6957787398379154,0.2513157072286746,0.6588140741380987,0.23288415126608175
bivariate_poisson,established_only,2024-2025,370,0.21794463533315175,0.2056092656736853,0.23203459620033434,0.6165037205779551,1.0263199109150445,0.04640791694764575,3.029000729746176,0.6810835669682491,0.24406615777437116,0.6865106723567065,0.24666386451390668
ml_scoreline,overall,2024-2025,380,0.19886499746164538,0.18644980721240273,0.21187803539010772,0.5827646610367919,0.9785871990083205,0.043851563659221084,2.941873010237833,0.6738143492248317,0.24054505252106664,0.6778544247606594,0.24245028260870258
ml_scoreline,cold_start_involved,2024-2025,10,0.1524153098770075,0.11024773741166036,0.19535228502329696,0.6170712000156094,1.0277225832703245,0.33125292901808645,2.9120533515978995,0.6848326770530886,0.24816226452424267,0.637641746352797,0.22237190892276462
ml_scoreline,established_only,2024-2025,370,0.2001203944233923,0.18701676336311696,0.21271070091340738,0.5818374572806079,0.9772592156498877,0.051119979663093784,2.942678946957831,0.6735165565808248,0.2403391819263862,0.6789412539068179,0.24299294135697116
dixon_coles,overall,2025-2026,380,0.21174679330247176,0.1994485799497238,0.2235261077054031,0.6230608640119022,1.036163872840928,0.08382019455420649,2.8938396768547285,0.6820132083372923,0.244319653713599,0.6821146882129223,0.24456051887082805
dixon_coles,cold_start_involved,2025-2026,10,0.22793722337240677,0.18921018945844686,0.25407797126432946,0.6676233402344405,1.1004865128861345,0.12909011304653306,2.625539955510182,0.6983290032739965,0.25259076984073253,0.7174701201103468,0.26211910041615705
dixon_coles,established_only,2025-2026,370,0.21130921411139242,0.1994981368061123,0.22255370931110585,0.6218564727626447,1.0344254231099763,0.08259668324360309,2.9010910206748517,0.6815722409065705,0.2440961100344873,0.6811591359994784,0.24408596261284618
bivariate_poisson,overall,2025-2026,380,0.21174117458922223,0.1992878368687204,0.2236672651019791,0.6228347455229235,1.0356137328451553,0.08934225507523808,2.893176252725694,0.6819065220874354,0.24428529863288956,0.6819297397952352,0.24446594007172645
bivariate_poisson,cold_start_involved,2025-2026,10,0.22793722337240677,0.18921018945844686,0.25407797126432946,0.6676233402344405,1.1004865128861345,0.12909011304653306,2.625539955510182,0.6983290032739965,0.25259076984073253,0.7174701201103468,0.26211910041615705
bivariate_poisson,established_only,2025-2026,370,0.21130344354102804,0.19936117218322838,0.22269025499489534,0.6216242429631529,1.0338604144656696,0.08826798864358144,2.900409666163952,0.6814626712445552,0.244060826438083,0.6809691889759079,0.24398882762998508
ml_scoreline,overall,2025-2026,380,0.2073181494415363,0.19458119702497928,0.21972600315436058,0.6150976559598798,1.023639424666793,0.026056369672924774,2.8857886019026195,0.6910733938985385,0.24897099899897449,0.6883012760819643,0.24758756376565516
ml_scoreline,cold_start_involved,2025-2026,10,0.26798835365507356,0.18121699948628978,0.3664722661645226,0.7417315229076857,1.214583650189261,0.2092898757584192,2.6853798392295465,0.6696690419730985,0.23844218807358492,0.7132339108746873,0.26000225403187427
ml_scoreline,established_only,2025-2026,370,0.20567841419252178,0.19340585635992125,0.21777307350741398,0.6116751190153442,1.0184787699229427,0.02554954407055621,2.8912050549478385,0.6916518898965235,0.24925556145641747,0.6876274210875666,0.2472520315962979
